source_id,support summary,deny summary,query summary,comment summary
18dmb4,,,,There is a lot of information about Aspartame.
1d7lzf,,,,There's a reason why people don't use reason.
1hzz6y,,,,I don't know what to do with this information.
1i8cy7,,,,The author's company filed for bankruptcy.
1i8ljs,,It's not true that they need a warrant to collect any personal info.,The police won't search through reporters' files if they're investigating someone who isn't a member of the news media.,The US government doesn't need a warrant to search people's phone records.
1jvbd8,,,,Fukushima has a lot of radiation.
1uniwn,,They didn't dodge anything.,,There is a lot of money spent on education in the US.
1x8zke,There is a problem with cell phones.,,,There is a problem with the use of the term 'nuclear' in the current climate.
22o24j,It's not possible to find a source of information.,"There is a lot of misinformation about the fact that the author of the book "" On Killing"" is a historian.",,There is a lot of misinformation about the war.
249p6c,,There is a problem with microwaved water.,She didn't get the results she wanted.,There is no way to control the amount of water in a plant.
25bvmb,There is a lot of alcohol in the world.,,,There is a lot of smoke in the air.
31xv6u,I haven't seen his videos yet.,I don't have the energy to read the article.,,There is a lot of information about dinosaurs in the article.
3e7pye,There is a problem with fasciitis.,,,Fasciation is caused by the presence of genetic material.
3xqilx,,,,He didn't start the fire.
443938194715713536,,,I don't know what to do.,Dmitry is a genius. She has a lot of skills.
46uw4y,The second year student has a lot to learn.,There is a difference between the number of people who vote and those who don't.,Greens get 6.9% of the vote.,"There is a lot of data in the BES, but it doesn't show up in the polls."
46yxoy,,"The better you look at the news, the more you will see.",There is no way to get the required paperwork without being found out.,It's a way to explain the results once the fix is in.
498280126254428160,Michael is staying with his grandmother.,,,Michael Skolnik
498293668655423488,Every 28 hours a black male is killed in the United States by police or vigilantes.,,Michael Skolnik shares his data with other people.,Every 28 hours a black male is killed in the United States by police or vigilantes.
498430783699554305,Michael Skolnik was shot by police.,,,Michael Skolnik is angry with the police for killing a black man.
498486826269548545,,Quad City Pat has a problem with the media.,Letzy and Antonio French sent each other a link.,Antonio sent a photo of himself and his friends.
499366666300846081,,There is a lot to discuss today.,The photo is from last night.,There is a lot of violence in the world today.
499368931367608320,There is a lot of media coverage about Ferguson.,,There are too many people in the media.,There is a lot of talk about the police killing of a black man.
499456140044824576,,,The police are investigating the case.,The suspect was shot at by a police officer.
499530130487017472,A woman was shot in the head last night.,,,A woman was shot in the head last night.
499612545909415938,,There is a lot of misunderstanding about what happened.,There is a lot of controversy about the fact that some people don't like the way they are treated.,There is no justice for black people.
49l01s,,,,The Queen has been accused of breaking up the European Union.
4c7iec,,,,Frewin believes that there is an alien element in the universe.
4dfdvo,,I don't know what to do with the article.,,There is no evidence of fluoride in the water.
4eo2zi,,,,There is a lot of misinformation about the media.
4ycnf5,,,,There is a lot of information about Antarctica.
500258409988763649,Ferguson cop is expected to be released by 9 ET.,,,Ferguson police department is incompetent.
500270780832174080,,,,There is a lot of anger about the killing of Michael Brown.
500278045597368320,Mike Brown was shot by a police officer.,,There is a problem with the link.,The suspect is a criminal. He should be punished.
500279160795721728,Dante B4u doesn't agree with the arrest of Michael.,,The police are looking for a suspect.,Dante B4u is angry with the police.
500279189405433858,Michael Brown was racially profiled.,,,Mike Brown was shot by a police officer.
500280249629036544,,,Michael is on the ground.,Michael Brown was shot by a police officer.
500280422295937024,Yamiche killed a young man.,,There was a struggle in the car.,Yamiche is a six year veteran of the police force.
500280838710247424,Mike Brown is a suspect in a robbery.,"DIANAZOGA believes that there is always a "" history "" when the African Americans gets killed.",Mike Brown was robbed by police.,Mike Brown was shot and killed by police.
500281094239817728,,,The police did not arrest the robber.,There is a story about a man who was racially profiled.
500281131057811456,The kid was wearing the same clothes as the previous one.,Mike Brown was not wanted for the robbery.,The manager of the store didn't say anything.,The police suspect that he stole a candy bar from a kid.
500284699546517505,The video shows a man being shot by a police officer.,,There is a video of a man who was shot and killed.,There is a video of a man pushing a woman around.
500286058664579072,Mr. Wilson's picture was taken with his hands up.,A man was shot and killed by his partner.,Mike Brown is wearing a red hat.,The police officer who robbed the store is a racist.
500288349924782080,The Anon is wearing a pair of shoes.,,,The guy in the security cam is bald.
500290456845299714,A man stole a lot of money from his girlfriend.,The cost of a store is not determined by the customer.,There is a lot of discussion on the topic.,There is a lot of money in the box.
500294803402137600,Someone wearing the same hat at sceen still gave no right to kill him.,There is a lot to be said about Michael.,,Michael Brown was robbed in Ferguson.
500295393301647360,,,,There is a man in Ferguson who is asking questions about his life.
500298588992593920,,,,The suspect in the case is a black man.
500298752469770240,Shade was 17 when he got killed.,AkaDimiX is not a politician.,Dostoevsky is sorry.,The police officer is black. He has no weapon.
500303431928922113,Prisoners are protesting against the killing of innocent people.,There is a new bill to stop Militarization.,There was no looting.,Prisoners are angry at the police for shooting at them.
500307001629745152,The police don't want to know what happened.,There is a lot of information about the situation.,The police officer was shot in the chest.,The police are not releasing the details of the case.
500308076004929537,,The man who robbed the store is not guilty of any crime.,There is a difference between the military and the police.,There is a lot of racism in the world.
500319675797209088,The police are looking for someone who stole something.,There is no legal limit on what can be done.,The police in St. Louis County are using deadly force.,There's no need to worry about it.
500319801344929795,Ferguson cops told a dirty lie.,,,There is a lot of racism in the USA.
500327106824245249,,,,Darren Wilson is a thug.
500327120770301952,,,,Charlie Sheen shot one of his wives.
500332933098385408,Jon Snow is a racist.,There is no reason why a person should be arrested for a crime.,,Kristin doesn't believe in violence.
500341884678836224,,,,
500347114975944705,The video shows a man with a gun in his hand.,There is no evidence of a robbery.,Kosfer is accused of killing a man.,The video shows a black man robbed by a white man.
500354773133299713,Ferguson police beat a man.,,,Ferguson police beat a man for bleeding.
500363126294863876,Mike Brown was not a suspect in the shooting.,Nerdy's arrest makes it more likely he will be charged.,,There was something leading up to the shooting.
500363740311982081,Zerlina Maxwell disagrees with the media.,Zerlina,,Zerlina doesn't want to talk about the killing of a black kid.
500371149713178625,Angry Black Lady is angry about the way criminals get away with it.,Angry Black Lady is upset that the police officer killed her.,,Angry Black Lady is angry at the police for arresting a man.
500377145349521411,There is a problem with the way the police treat people.,,,The little idiot has a rap sheet.
500377906305327104,There is a lot to be said about the Three Stooges.,,,The police beat up a man.
500378223977721856,Jaywalking is a crime.,The suspect is dead.,The suspect has been arrested.,Jurutha was shot by a man behind the counter.
500378522788315137,Fergie has a problem with the police.,The suspect has been arrested.,There is a lot of talk about the future of the country.,The officer who shot Michael Brown didn't know he was in trouble.
500381163866062848,Ferguson police beat up wrong suspect for getting blood on uniforms.,,,There is a lot of talk about how bad the weather is.
500389488217309184,The police are looking for a suspect.,There is no way to know if the person responsible for the murder is responsible for it.,Lisa Bloom is angry at the media.,Mike Brown was robbed by a stranger.
500391222075076610,SLEEZAVELLI,Sylvester is not happy with the way he is behaving.,The owner of the store has admitted to the shooting.,Mr. Brown is accused of stealing from his parents.
500394061887709184,Jelani doesn't like the way it looks.,,,Mike Brown is a thief.
500413818368184321,It's a good idea to wear a white hat.,Ferguson is not guilty.,,The DailyEdge has a story about a man who went missing.
521346721226711040,Michael has contracted a virus.,,There is no way to know if it is true or not.,Michael Essien has contracted Ebola.
521360486387175424,Michael Essien has been diagnosed with cancer.,Michael Essien has not been confirmed.,,Michael has been diagnosed with cancer.
524922729485848576,,Dilbert sent a photo of himself with a knife.,Henderburn sent a photo to the media.,Henderburn sent a picture of a soldier.
524923293711998976,,,The president of Canada is angry at the way he is behaving.,A soldier has been shot at the war memorial in Ottawa.
524923462398513152,,,,There is a lot of gun violence in Canada.
524923676484177920,,There is a shooting on Parliament Hill.,There is a lot of discussion about how to solve the problem.,The RCMP have guns on Parliament Hill.
524924619812511746,,I don't know what to do about this.,,It's time to change the laws.
524925050739490816,A soldier was shot at the National War Memorial.,,,A soldier shot at National War Memorial in Ottawa.
524925215235911680,,,,Shots were fired at Parliament Hill.
524925730053181440,A soldier has been shot.,,,There is a terrorist attack in Canada.
524925987239120897,Gunfire inside Canadian parliament.,,,It's time to get out on the street.
524926235030589440,,,,PzFeed informs us that the military should be armed.
524926472432410625,,,,There is a terrorist attack on Parliament Hill.
524927281048080385,There is a terrorist attack in the centre of town.,There's a lot of work to be done.,It's a good idea to send a message to someone.,There is a problem with the security of the Internet.
524929497205055488,Canada's Parliament Hill is on lockdown.,,There was a shooting at a school.,There is a lot of bad news about the shooting.
524931324763992064,Sensch has a lot of work to do.,,Mark is in Canada.,Kris sent an email to his colleague.
524932056560963584,,,The following is a list of events that happened today.,There will be more protests against extremism.
524932935137628160,@kellyoxford is a journalist.,There is no confirmation that the gunman is down.,,The gunman is still on the loose.
524935485370929152,There is no need for a bomb.,,,Sophia is upset about the media blackout in the US.
524936793633083394,,,The MP is dead.,Mark is worried about the security of his colleagues.
524936872666353664,There are more shots fired off Parliament Hill.,,,There are more shots fired off Parliament Hill.
524937542131793920,,,There are reports of a shooting at the Centre.,Rideau Centre is in lockdown.
524940659778920448,The gunman is on the loose.,,,The following is a picture of Cpl.
524941132237910016,There is a video of a man shooting at a building.,,,
524941720249978880,There was a shooting in Parliament Hill.,,The suspect is on the loose.,A video from Globe and Mail shows a shooting in Parliament Hill.
524942470472548352,,,,Inkless is 2 km from the parliament.
524943490887991296,,,,There is a shooting at Parliament Hill.
524944399890124801,,,,There may be others on the loose.
524947416869388288,,,,
524947674164760577,,Dave Beninger is dead.,,Donnajcheld sends his condolences to his family and friends.
524947867975561216,There was a terrorist attack in Sweden.,The Ottawa police are looking for multiple shooters.,The reason for the attack is simple.,There was a shooting at the parliament. The suspect is a terrorist.
524948206023880704,Two people were killed in the attack.,The news is bad.,There is no word on the condition of the soldier.,A soldier was shot at Parliament.
524948866773184512,Seedy sent a video of a shooting inside parliament.,,,Seedy's hang out in Ottawa 25 years ago.
524949443607412737,There was a shooting at the Centre.,There are no reports of injuries.,,There are a lot of shootings in the city.
524952883343925249,There is gunfire inside Canada's parliament.,,,There was a shooting in Ottawa.
524956129017995264,There is a lot of hate in the world.,There is a shooting at Rideau Centre.,,The shooting at the National War Memorial and Rideau Centre has caused a lot of damage.
524959809402331137,A Canadian soldier is dead in Ottawa.,The police are looking for a suspect.,There is no proof yet that the shooter has anything to do with ISIL.,There is a shooting in Canada.
524961721744900097,,,Arpon is alive.,The soldier who was shot at Ottawa's War Memorial has passed away.
524962142563610625,,,,"The name of the unit is ""Argyll""."
524964948683005952,,Justin Trudeau is not a good leader.,,Justin Trudeau's administration is making Canadians a victim of terrorism.
524965775036387329,,,,The soldier who lost his life is a hero.
524966904885428226,There is a lot of bad news about the situation in Europe.,,,The soldier is still alive.
524969201102901248,,,,The MPs credit Sergeant-at-arms for saving lives in Parliament Hill shootings.
524970851675176960,There is a lot of violence in the world today.,A guard died.,,
524972443308683264,,,There was a similar incident in Canada.,The attack on Parliament was planned by a terrorist.
524975705206304769,The game was cancelled.,,,The NHL cancelled tonight's game.
524980744658382848,,,The car-jacking has been confirmed.,The president of the United States has sent a message to his family.
524981436252950528,,,,The suspect in the Ottawa shooting is a Canadian citizen.
524983581983375360,There are two shooting incidents in Ottawa.,The news is bad.,,There were two incidents at the same time.
524990163446140928,There were 3 shootings.,There were two shootings in Ottawa today.,,
524991576163250176,Police are looking for two shooters.,There was a shooting at a nearby hotel.,There is a lot to be excited about.,There is a lot of misinformation about the police.
524993533212897281,There is a terrorist threat in the US.,,I want to know what happened to the news.,The FBI is good.
524995771587108864,Mike is sad.,It's time to get rid of the guns.,,Cpl. Nathan Cirillo died.
525003468659228672,Sean is honoured to serve as Honorary Colonel in reserves.,The photo was taken by Sean Osmar.,,The photo was taken before the shooting.
525019752507658240,,It's an old joke.,There is a photo of a man who is carrying a rifle.,Mr. Merizier is angry about the fact that he has a beard.
525023025792835585,Nathan Cirillo is dead.,,,Cameron died of a heart attack.
525025279803424768,,,,Nathan died of a heart attack.
525025463648137216,Nathan Cirillo is dead.,,,Cpl Cirillo died.
525028734991343617,,,,There is a reason why soldiers should wear protective vests.
525032872647065600,@20committee,There is a discussion to let'sympathizers'reenter OZ to rehabilitate.,He had his passport confiscated.,There is a risk of terrorism in the United States.
525049639016615937,Mauler is dead.,,,Mauler died.
525056576038518785,Nathan was killed in a shooting.,,,A soldier was killed in a shooting in Canada.
525058976376193024,I'm angry.,,,It's been a long time since I've seen him.
525060425184858112,,,,Cathy has a lot of work to do.
525068915068923904,,,,There is a lot of work to be done.
529540733020405760,The museum is located 4 hours away.,,The show already sold out in Toronto.,It's a four-hour flight from Toronto to Prince Museum.
529653029747064832,,I don't want to talk about it.,,David tells me to keep my ears open.
529654186791944192,,,There is a lot of talk about the future of the country.,Prince will perform in Toronto on Thursday.
529660296080916480,,,,Mikeyer will send a set of tennis balls to his friend.
529687410611728384,There is a lot of talk about the upcoming concert in Vancouver.,,,Lisa LaFlamme is in a line up.
529689679411810304,,Freekmane,,@FreekmaneJames and @TristananthonyJ should wear heels.
529695367680761856,,I saw Prince in concert 2 years ago.,,It's Prince's birthday.
529695483661664257,,,,Stazie and Prince are going to meet for a party.
529713467184676864,The Secret Prince show is rumored for Toronto tonight.,,,
529716453792956416,,,,@ctvottawa is holding suicide prevention event and fundraiser for funeral costs for my cousin who passed on.
529720273285566464,Prince will not be performing at tonight's show.,,Prince is coming to Toronto tomorrow.,Prince will not be performing at the event.
529739968470867968,There's no way to make it tonight.,He will not be playing in tonight's game.,There was no response from the media to the news.,There's a lot of money in the world.
53czp3,,,,It's called a long-term investment.
544268732046913536,,,,Sydney is being held and a siege is taking place.
544269749405097984,,,There is a lot of chocolate in the cafe.,There is a terrorist attack in Sydney's Martin Place.
544271069146656768,,Kristy's tweets are wrong.,It's an ISIS flag.,There are two gunmen inside the cafe.
544271284796784640,,,,It's time to get rid of the terrorists.
544271362022338560,,The flag of the Islamic Republic is not unique to the group.,,There is a terrorist attack on a building in London.
544272537341812736,There is a lot of violence in Syria.,The ISIS flag is not the same as the previous one.,The government has banned guns in Australia.,Sydney is being held up by ISIS.
544274544174071809,This picture is sad.,,,There was a terrorist attack in a cafe.
544274934835707905,There is a lot of news on the news.,,There is a terrorist attack in Australia.,There is a terrorist attack on a BBC news station.
544277117039837184,Sydney is under attack from the Islamic State.,There is a problem with the way people are treated.,There is no God in the world.,There is a lot of hate towards Islam.
544277860555710464,,Srry the whole holding the hostages.,,Kiyan is upset because he wants to kill himself.
544278335455776769,Sydney cafe is being held up by terrorists.,The flag of the Islamic Republic of Iran is not a flag.,How do you know if something is wrong?,There is a protest outside a cafe.
544278985249550337,,,The media is ignoring the news.,It's not working in the USA.
544282005941530624,,,,Hillary Clinton wants to kill all her friends.
544282227035869184,Gunmen take hostages at Sydney cafe.,PzFeed is not the same as it used to be.,,PzFeed wants to get rid of the fat.
544283772569788416,Siege in Sydney Cafe is happening.,,,There is a lot of bad news about the Siege in Sydney.
544287209730236416,Sydney Opera House is deserted.,,,The news is bad for the people of Hungary.
544288681021145090,Up to 20 people were held hostage in Sydney Lindt Cafe.,There is a lot to like about this article.,,There are 20 people held hostage in the cafe.
544289311504355328,,,,There is a lot of blame for this.
544289409294553088,Mr. Bolt is not happy with the way he is behaving.,,,She doesn't like the fact that her name is not on the list.
544289941996326912,,,,
544290258951892992,Sydney has been shut down by police.,,,The police are looking for a suspect.
544291804057960448,Sydney Siege is happening.,,,Sydney is under attack.
544291965513134080,,There is a lot to like about the movie.,,Sharri has sent a picture of a man with a gun.
544292129972170752,,Sydney has a problem with fake news.,"There is no such thing as a "" group"".",The message from J.Schoenberger is incorrect.
544292670336925696,,The cafe is not near the opera house,,There is a lot of bad news about the group.
544293753130082305,,The same man who kidnapped two people in Birmingham.,Rundfunk and other countries have killed more children than they have killed.,There is a man who threatens to kill the people of Sydney.
544294893146091520,There is a hostage situation in Sydney.,,There are threats at major public places over Christmas.,There is a terrorist attack in Sydney.
544297696308518912,Sydney is being held hostage.,,,It's cold in Sydney. Fox News is covering the story.
544301453717041152,,,,There is a security threat in Sydney.
544305540286148609,,,,The man who shot at DailyMailAU is a terrorist.
544305745416581120,,,,There is a hostage situation in Sydney.
544306402731507712,,,,Sydney needs help to create jobs.
544306719686656000,There is a lot of pressure on the US government to do something.,The news about the Normandy landing is interesting.,Sassafras is worried about the attack.,There is a problem with the way people are treated.
544309275141885952,There will be 50 hostages at the café.,The number of people who have been killed is around 500.,,Nijatk is worried about the safety of the hostages.
544310853613281281,The Sydney cafe siege may be part of a larger plot.,Sydney's website has been hacked.,,Sydney is disappointed with the news.
544314234541469696,There is a surge in Uber prices in Sydney.,There is no reason to worry about the security of your home.,There is a lot of traffic in downtown Sydney.,There is a hostage situation in Sydney.
544315472075042818,,,,Sydney has been evacuated because of a terrorist attack.
544319274072817664,A bit like Hadley.,Ray Hadley is the worst person in the country.,,He is being harassed by the media.
544319832486064128,There is a problem with the way the government treats people.,There is a political situation in Australia.,The situation in Sydney is politically motivated.,The news is bad.
544324444773433348,Uber has hiked prices in Sydney.,There is a problem with the price of Uber.,The driver can't get to the car.,Mashable is not happy with the prices they are paying.
544328894812549121,Aussie Sheeple wants to invade the middle east.,There is a fake news story about a suicide belt.,The Sydney state library has been evacuated.,Anonym Tipster has posted a fake news story on Twitter.
544329935943237632,The Uber driver is not paid for his work.,Uber is paying for rides.,Uber is paying for rides in Sydney.,Uber is giving away free rides to drivers.
544333764814323713,There is a lot of misunderstanding about what happened.,,There's a lot to like about this.,"The headband of Muhammad reads ""We are your soldiers""."
544350567183556608,,,The crisis is over.,
544350712365207552,Sydney's hostages are safe.,,,
544352727971954690,Two people were killed in a shooting at a café.,,There is a lot of corruption in the world.,There is a lot of money in the world.
544358533819420672,The hostages escaped the Sydney cafe where a siege remains ongoing.,The hostages escaped the Sydney cafe.,There are three hostages at the cafe.,Gurmeetramrahim will save all the homes in Sydney and turn them right.
544358564484378624,,,,
544367462012432384,The baddies don't have social media and they're gonna start locking the side doors.,,Sydney police are looking for 3 people who escaped from a cafe.,The hostages are safe.
544374511194632192,The hostages have been released.,,,The problem is that they don't know how to solve the problem.
544380742076088320,,,,There is a photo of a woman who has been taken by the police.
544381485591982083,Troy Bramston sent a video to Channel Ten News.,Troy sent a photo of himself with a gun.,,Troy has sent a message to the media.
544382892378714113,The following is a summary of the events that took place today.,,Gelukkir is hosting a party.,BuzzFeed News shares a photo of a young woman with her boyfriend.
544391176137089024,Sydney is hosting a meeting with the Australian PM.,,,The US government has sent a fake flag to Barack Obama.
