source_id,all summary
91728807081426944,@Lil_Eazy_Ana and @Peyton_
265953285247209472,@chrissyteigen wants to go to the party.
273182568298450945,Onion is one of the people who died on Friday.
273278761909239808,Onion is dead on Twitter.
295152287901417472,@godsgirl is following me.
295944137948151809,There is a picture of a woman saving a man's life.
318263294098030593,A photo of a black nurse saving the life of a KKK member has been shared by Earth.
319166636902998016,A photo of black nurses saving the life of a KKK member has gone viral.
326137285450018817,A photo of black nurses saving the life of a KKK member has been shared by WildestFacts.
334722003057647616,Stephen Fry thinks it's a hoax.
336873759271157760,Allen West wants to know why he is not getting his salary.
336913656921083904,The Fort Hood shooter has been paid a salary of 278$ since the massacre.
348203818741272576,"The IRS sent $46,000 in unpaid taxes to Talkmaster."
348204426659508226,"The IRS sent $46,000 in unpaid taxes to E.Erickson."
348209998565879810,Paula has been offered a cooking show on the new Fox News Channel.
351767344097398785,Alex wants to know what is going on.
352075672543428608,Paula filed a discrimination suit in time for her new book.
356268980211687424,There is no evidence to support the claim.
356297080169447425,Obama files federal charges against George Zimmerman.
356310469390245888,The following is a list of current events.
356407105953071107,The Department of Justice files charges against George Zimmerman.
356437941641416705,Zimmerman has been charged with violating Trayvon's civil rights.
357299879070023680,Roycelr advises people not to buy Koch's products.
357300409292959744,Zimmerman has filed a civil suit against Sande.
358591089462099968,George Zimmerman won the Florida Lottery.
364383457545162754,Radioactive water is seeping into the ocean from Japan's crippled Fukushima nuclear plant.
364589696573124609,YourAnon is talking about the radioactivity.
365052155385749505,Fukushima has been leaking radioactive water for 2 years.
365056836476481537,There is a problem with contaminated water.
365276206381268995,"Fukushima nuclear plant is leaking 80,000 gallons of radioactive water into the ocean daily."
365497016098369536,Water leaks at Fukushima could contaminate the Pacific Ocean.
366025766183514112,The Fukushima Daiichi nuclear power plant is leaking radioactive water every day.
366205297557110784,The temperature has risen above freezing.
369506008172740608,The Fukushima Daiichi nuclear power plant is leaking 300 tons of radioactive water every day.
370855596050108416,Radioactive groundwater is seeping into the Pacific Ocean.
372489152903643136,Jesse is in a state of emergency.
372901260183494656,There is a leak in the water.
372914976102834176,YourAnon wants to know if there is a problem with radiation in the US.
376874273601630208,Lord_Voldemort is working on an eighth Harry Potter book.
376982539132366848,J.K. Rowling is working on an eighth Harry Potter book.
377002232257855488,J.K. Rowling is working on an eighth Harry Potter book.
377519445578895360,@jk_rowling wants Frankie to follow him.
380055172896272384,A city in Louisiana has made twerking illegal.
380140114552188928,Tweerking in Louisiana is a crime punishable by up to 30 days in jail.
386682163862986752,There's a joke on Twitter about Muslims being paid for their beliefs.
386998038004113409,The website has been shut down.
387006553124896768,Wilson is angry at Obama for shutting down the internet.
387006700609228801,Amber Alert website goes dark under government shutdown.
387007120689737729,Jason wants to shut down the Amber website.
387009577763360768,Amber Alert goes dark under government shutdown.
387010299536355328,The White House is shutting down.
387021726007042051,Obama is not the one who stands for freedom.
387030572779847680,@th3j35t3r wants to know why the website is not working.
387031585834278912,Ace of Spades has gone offline due to the current situation.
387041762331471872,Pambesteder's website is down.
387050178932654080,Joseph and Dan are angry at the president.
387220814531395584,The NBC News website is down.
387233034350514176,It's a shame that Sunnyright has been hacked.
387236601450864641,Steve is angry at Steve Works.
387237225286479872,Steve works for a company that provides health insurance.
387281927427727360,@RepFincherTN is a hypocrite.
387309869080281088,Ezraklein is upset about the fact that some people think the museum is a place for Muslims.
387353560356118528,PolitiFact claims Obama used the Amber Alert system to scare people.
407156621450571777,The driver died because he wasn't famous.
407158558158254081,Paul died of a drug overdose.
407159686786732032,The actor died of a heart attack.
407162181059612672,Paul Walker died at the age of 40.
407163499723624449,Paul died shortly after attending a charity event for his organization.
407163869673443328,There was a train crash in Glasgow.
407164247768977409,Patama sends condolences to the driver who died.
407164597511393280,Paul died with a driver that no one cares about.
407167258452971520,The post was shared by @GossipCop.
407167928313081856,Paul Walker died of a heart attack.
407169212428206080,Nobody cares about the driver who died.
407169699559247872,Paul Walker passed away today.
407169885345943552,Paul Walker died in a car accident.
407170170533064705,The last picture of Paul was taken before his death.
407170443443859456,Roger Rodas died with Paul Walker yesterday.
407173794583695360,The history of organizing in international disaster relief.
407176055657484289,The last photo of Paul was taken just before he died.
407176873605865472,Paul died in a car crash.
407177474788057088,The driver that died with Paul Walker was not famous.
407179055763836928,Paul Walker died in a car crash.
407181813174788096,Huffington shares his condolences on Paul's passing.
407182194206322689,Jalopnik wants to know what is in God's will.
407182466613792768,Paul died of a heart attack.
407184707118309376,Paul Walker died in a tragic accident.
407184730988097536,Kevin lost his life in a car accident.
407185422523977728,"Paul is still alive, but his car is on fire."
407187197427593217,Rai is angry at Prachi.
407188779255222273,Paul Walker died of a heart attack.
407189015582887936,The man died in the car crash.
407191058108256257,He died doing what he loved.
407191144880439298,I can't believe he died.
407192027714322432,Paul Walker died yesterday at the age of 35.
407192126032986112,Speed was a factor in the crash that killed Paul Walker.
407192370040803329,Paul Walker passed away. He was 40.
407193347279699968,Paul Walker died in a tragic accident.
407197113286545409,A man died in a car accident.
407197672702214144,Paul died in an accident.
407198255793987584,Paul Walker died in 2013. Tyga was doing alright until he found out.
407198615137181696,The man who died with Paul is remembered by Liam.
407205009676587009,It's all about the timing.
407205235682050048,Paul died because he wasn't famous.
407205404075376640,The name of the driver is Paul.
407206094747209728,Ralph died in a car accident.
407209131351629824,The following is a link to the article.
407209222850756608,Rodger is famous but no one seems to care about him.
407209892013821952,Elle shares a photo of a man who died.
407211258304552960,Paul died of a heart attack.
407212665350942720,Paul died. Mashable is sad about it.
407213757048160256,He died doing what he loved.
407213772328022016,Paul Walker and Samuel Johnson were killed in a car crash.
407217471473451008,The driver is getting more and more drunk.
407217865973329920,Paul died of a heart attack.
407218583135997953,Rodas is a human being.
407223928084766721,Paul Walker's death is delayed but won't be cancelled.
407229989902225408,A man died in a car crash.
407231591191035904,Paul died too fast and Maatthieu is furious.
407231740764508161,The driver who died with Paul was famous.
407232661107642368,Paul Walker passed away. MTV News is mourning his passing.
407233172380733441,Paul Walker died in a car accident.
407234399093022720,Roger died along with Paul Walker.
407236151167025152,The driver that died with Paul Walker was not famous.
407244865018155008,People are comparing Paul to animals.
407248574099894272,Paul Walker's death will be delayed but won't be scrapped.
407253198395555840,"Paul Walker is dead, but the story is still going on."
407253554039386112,Deji is at the crash site where Paul died.
407254590363426816,The report of Paul Walker's death will be delayed.
407258075502899200,The driver died in the accident.
407262869152358400,Paul died hours before his death.
407262953533353984,Paul is an actor and writer.
407264593027670016,The driver is responsible for their deaths.
407267881131732992,Paul Walker's last movie is set to release in two weeks.
407269894938718208,Paul died two days before TMZ posted this two days ago.
407275991610818560,Dave Schilling tweets about VICE's article about Paul Walker.
407279190913069056,Paul died of a heart attack.
407290084593913856,The driver was killed along with the passenger.
407290871856369664,Madubuike is making fun of Paul Walker.
407292452060815360,Paul Walker died in a car accident.
427652211414274048,A man died of smoking-related disease in Marlboro.
427662266993889280,Actor who portrayed Marlboro man in 1970s ads died from smoking-related disease.
427666815842414592,A man from Marlboro died from smoking-related disease.
427689948398231552,Actor Eric Lawson who portrayed the Marlboro man died from chronic obstructive pulmonary disease.
427690961280696320,Man who portrayed the Marlboro man in the 1970s died from smoking-related disease.
427725166127226881,There is no cure for smoking.
427762638274437120,Actor who played Marlboro in ads died from smoking-related disease.
427780584979836929,A man died of chronic lung disease.
427831952826449920,A Marlboro man died from smoking-related disease.
427846006600777729,A man in Marlboro died of smoking-related disease.
427924694663454720,Actor who played Marlboro in ads died of smoking-related disease.
427944719612915712,A man in Marlboro died from smoking-related disease.
428366153149194240,Obamacare will require you to get an RFID chip implanted into your skin to monitor and track you.
435998882250899456,Skyfall is laughing at Harry's tweet.
436074888638763008,""" he's a kidnapper."
436089462326849536,@_exhalebie is talking about his personal experience.
436157173161144321,""" he's a kidnapper."
436157398269849602,There is a recall of processed meat.
436160836524965891,Nestlé has issued a recall of Hot Pockets in the USA.
450341615979069440,Danger thinks it's a hoax.
455525437351800832,There is no such thing as a happy ending to a story.
470025166760980483,@LifeNews wants to know where is Michelle Obama.
482880640560271361,Allen West is critical of the military training in Bahrain.
489794369487380480,Malaysian Airlines passenger was shot down near the Russian border.
489794593580650497,Malaysian Airlines passenger was shot down near the Russian border.
489794696013967360,HuffPost shares a photo of a plane crash.
489796088338341888,The plane was carrying 295 people.
489796998615547904,Malaysia Airlines plane was shot down.
489798219283857408,Malaysia shot down a plane.
489798752358916096,Russian plane shot down in Ukraine.
489800427152879616,Malaysia Airlines lost contact with the plane that was flying in Ukraine.
489802446001434625,The plane has been shot down.
489812926828924928,"According to CNN, MH17 was shot down by terrorists."
489816746405007360,There was a plane crash in Malaysia.
489818014364086273,Al-Arabiya wants to intervene in the war.
489820657291911168,There was a plane crash on Malaysia Airlines.
489829414704648192,There is no such thing as too much information.
489833932813516800,Ukraine shot down Malaysia Airlines with a surface-to-air missile.
489836271049928704,There was a plane crash on MH17.
489836441120145408,"A plane crashed in Malaysia, killing at least 295 people."
489841070818488320,Nine Britons and 80 children are feared dead after MH17 crashed.
489854703321509888,There was a plane crash in Gaza that killed at least 23 people.
489865454312099840,They are taking pictures of people's passports.
489867900296368129,Russian rebels shot down a plane.
489872119158046720,There's no need to be afraid.
489872500462190593,There was a phone call between a rebel leader and a Russian agent.
489874311143260160,Malaysia Airlines flight MH17 was shot down.
489887806018183168,The following is a partial list of airlines.
489902412900343809,Rebel leader shot down a plane.
489968646014246912,The breakdown of nationality of the passengers is as follows:
489970164469751808,Tommie shares the names of the passengers on his Twitter account.
489974591985840128,A Malaysian jet was shot down by a Buk missile system.
489975398151618560,There was a shooting near the embassy.
490080544949276672,MH17 was shot down by a Buk missile system.
490136764619948032,The flight MH17 was shot down.
490141776984825856,"According to CNN, the missile was fired by Russia."
491200302365040640,@cnni wants to know who shot down the plane.
491241885399539712,The Ukrainian military shot down a plane.
491591245152935936,CNN is accusing Russia of shooting down a plane.
495305620342714369,Tesla broke ground on a $5 billion battery factory in Nevada.
495365942726381568,Hulk lifted my heart.
495366618818830336,Hulk is no longer with us.
495583434954514432,There was a fight at the opening of Ukraine's parliament.
496698590153416704,JBCrew's ringtone saved a Russian fisherman from a bear attack.
497073936077959169,Justin Bieber has been attacked by a bear.
498280126254428160,Mike is staying with his grandmother for the summer.
499366666300846081,The Internet is a no-go zone.
499368931367608320,There is no coverage of Ferguson on Fox News.
499456140044824576,A man was shot at by police.
499530130487017472,A woman was shot in the head last night.
499612545909415938,Black people are killed by police more often than whites.
499679379820412928,Mike Brown had no criminal record.
499683602452717569,Mike Brown did not have a criminal record.
500258409988763649,The name of the police chief is expected to be released today.
500270780832174080,"Police shot and killed a man in Ferguson, Missouri."
500278045597368320,Mike Brown was shot by a police officer.
500278294055768064,Michael Brown is a 6-year veteran of the police force.
500279160795721728,@DanteB4u wants to know why the police didn't stop the car.
500279189405433858,Mike Brown was profiled by Edeweysmith.
500280422295937024,Darren Wilson is a six-year veteran of the Ferguson Police.
500280838710247424,Mike Brown was a suspect in a robbery.
500281094239817728,Mike was shot by the police.
500281131057811456,Mike is accused of stealing a piece of paper.
500284699546517505,Zellie wants to know why there is no video of a robbery.
500286058664579072,The man in the picture looks like a robber.
500288349924782080,Anon sent a photo of a man wearing a hat and tennis shoes.
500290456845299714,Someone stole a box of cigarettes from a store.
500294803402137600,Michael Brown was robbed in Ferguson.
500295393301647360,The other day I asked a manager at the #Ferguson market if she had requested any surveillance.
500298752469770240,The police are looking for the suspect.
500303431928922113,Prisoners are pointing guns at journalists.
500307001629745152,The police are trying to assassinate Mike Brown.
500308076004929537,A robbery took place and no one was hurt.
500319675797209088,The police are going to shoot everyone in the street for stealing.
500319801344929795,The Root is speaking out against police brutality.
500327106824245249,There is no evidence of the crime.
500327120770301952,Zellie wants to know how many celebrities have been caught stealing and ended up dead.
500332933098385408,There is no such thing as an innocent bystander.
500341884678836224,The Daily Edge reports that a man has been arrested for shoplifting.
500347114975944705,A video of a robbery has been circulating on Twitter.
500354773133299713,Ferguson police beat a man for bleeding on them in 2009.
500363126294863876,There was a shooting in the street.
500363740311982081,Maxwell and Zerlina are talking about a robbery.
500371149713178625,Black lady is angry with the police.
500377145349521411,The little idiot thinks the cop shot the boy for stealing.
500377906305327104,The URL is https://www.facebook.com/pages/
500378522788315137,The police suspect him of committing a crime.
500381163866062848,The police beat up a man for laughing at a joke.
500389488217309184,Lisa believes Mike Brown lied to the police about the robbery.
500391222075076610,There was a theft in the store.
500394061887709184,Jelani wants to know why the police didn't arrest him for breaking the law.
500413818368184321,The Daily Edge reports that a man was shot by police.
501474962935648256,President Trump thinks Obama should be removed from office.
501760566160289794,Someone was robbed in front of a store in Egypt.
501768276523761666,There were a lot of arrests in Ferguson.
501774251901198336,The number of arrests in Ferguson has risen.
501774615837163521,A man has been arrested in connection with a crime.
501781217411215360,People were arrested in Ferguson overnight.
501785003144273921,The police did not arrest enough people last night.
501827465032237056,@zaidbenjamin wants to know where the video is from.
501881262240694272,@blackrepublican and @Eagle_Vision are worried about the situation in Syria.
501934077612941312,Byron wants to know when Obama will be released.
503498696273965056,Ingraham is angry about the killing of a journalist.
503609826128044032,Israel wants to arrest a journalist named Abdel-Majed.
503610065769598976,Israel is a coward and needs to be killed.
503714147138166784,"@vinod_sharma, @mediacrooks and @sushupt"
504106473467944960,@lisabonner is the source of the video.
504109775358287872,There was a shooting in Michael Brown's neighborhood.
504131150429061121,There was a shooting on the grassy knoll.
504131654810877952,There was a pause in gunfire when Michael Brown was shot.
504243239084236800,There are more shots than there are people.
504244627680272384,There were 6 shots fired at Michael Brown.
504267796424163328,CNN is trying to cover up the killing of Michael Brown.
504304227246538752,There was a shooting in the US today.
504387128013246465,There is a recording of a man talking to a woman on NBC News.
504419526998360064,The NHL expansion to Las Vegas is done.
504433135036407808,It's going to be unreal when Las Vegas goes undefeated.
504441156575297536,Jay is looking forward to the game between Las Vegas and Toronto.
504448356584677377,There will be four NHL teams in 2017.
504450741126582275,They are waking up late for the game.
504453071041482753,The NHL expansion to Las Vegas is done.
504478567062056962,"Toronto, Quebec and Seattle will join the NHL in 2017."
504500863944376321,Flyers are looking for a new home.
504652021601800193,Ice Bucket Challenge has raised over $94 million.
504771233557147648,Tupac is alive and we're dead.
504830161993609216,Arian is waiting for someone to accept his challenge.
505369323922522113,Tupac was hiding for 18 years.
505611045897924608,A 15-year-old boy has been convicted of terrorism and sentenced to 25 years in prison.
505657661120348163,A 15-year-old boy has been convicted of murder.
506118402466152449,ReaI_Tupac is alive and will see her soon.
506656271517622272,UrbanCraziness can't believe Tupac is still alive.
506784541696991232,A pilot was shot down over Ukraine.
507242819623587841,Tesla is going to build a Gigafactory in Nevada.
507257950868885504,Tesla has selected Nevada as the site for $5B electric car factory.
507261372313640961,Tesla is building a new battery factory in Nevada.
507263441359613953,Tesla will build a $5 billion battery factory in Nevada.
507354546041925632,Betty is the victim of a hoax.
507454543169617920,Betty is not dead. She is a legend.
507557659206516736,"""I will never have sex with her."
507634536176300032,Betty is no longer with us.
507918114567499776,@cnnbrk and @bautista are happy about the airstrike.
508002575858561024,Al Shabaab is a terrorist group.
509031495101874176,Durex has not come out with a pumpkin spice.
509077805296914432,A man was arrested in Texas with an ISIS flag on his body.
509084603617792001,A man wearing a body armor was arrested.
509114008587100160,Durex is not making Pumpkin this fall.
509152237503778816,Durex has not come out with a pumpkin spice.
509463916586762241,Microsoft is near a deal to buy Minecraft.
509463933564891137,The game Minecraft has been bought by Microsoft.
509464217549021184,Kotaku is trying to buy Minecraft.
509464271118688257,Microsoft is in talks to buy Minecraft for more than $2 billion.
509464457836511232,Ali thinks Microsoft is trying to steal his money.
509466295344304129,Microsoft is buying Minecraft developer for $2 billion.
509473920060104704,GIBiz wants to buy Mojang.
509478961705807872,Microsoft is going to buy Minecraft for $2 billion.
510286132568150016,Detroit stole the batmobile from BlackPpl.
510507736287961088,The US government threatened to kidnap a journalist if he didn't pay a ransom.
510906049549705216,Israel is angry at the news that David was beheaded by ISIS.
510908595144519680,The Daily Mirror published a video of a man being beheaded.
510916464631889920,The Daily Mirror has posted a video of a man being beheaded.
510916647373516800,A video showing the murder of David Haines has been released by Isis.
510916725953417218,ISIS claims to have a video of British citizen beheading.
510918747188514816,David Haines was beheaded by ISIS.
510921017972514817,David Haines was beheaded by ISIS.
510922415468449792,@Razarumi is a great man.
510931521306243072,"The Prime Minister of the United Kingdom, David Cameron, has ordered the beheading of a journalist."
511330322831507456,@DineshDSouza and @JohnFromCranber are angry at Obama.
511918957255991296,StrikeForce is angry at President Obama.
513437031020916738,The link to the article is not working.
513749585391390720,Starbucks is testing a new latte that tastes like Guinness.
513779458340569088,Starbucks is testing a new latte that tastes like Guinness.
513922322915282945,Milstein and Baldwin are critical of the current administration.
514039286845698048,The video of the girl on live TV is priceless.
514057033419849728,The internet is full of funny videos.
514062859987595264,Florida woman adds third breast in bid to become a reality TV star.
514067907475959808,Florida woman adds third breast in bid to become reality TV star.
514072132301910016,The woman had a third breast augmentation.
514081464171102208,A Florida woman had surgery to give herself a third breast.
514098803347951616,There was an accident at the bridge.
514098833253748736,NBC is reporting that 3 US soldiers have been arrested in Afghanistan.
514100169307348992,Afghan soldiers have been found trying to cross into Canada.
514106273852174337,The missing Afghan soldiers were trying to enter Canada.
514106939173634048,The missing Afghan soldiers were found near the Canadian border.
514109888138842113,The link to the video is here.
514142113601437696,CNN's reporter quit live on air.
514148279601606656,Starbucks is experimenting with a beer-flavored latte.
514150992552931328,"Woman pays $20,000 for third breast."
514201362729828352,Three are in custody at the U.S. border.
514308277803294721,@djscrill shares a link to a music video.
514395350615203841,She's quitting BBC to start her own business.
514420223873941504,Pizza Hut driver was hit by a car.
514429381737852929,Some iPhone 6 Plus owners are bending their phones.
514451906211893248,Pizza delivery driver was hit by a car in Oregon.
514468018970034176,iPhone 6 users are sitting on and bending their new phones.
514478918636535808,Pizza delivery driver was hit by a car in Portland.
514483762566922240,The iPhone 6 is too small.
514495841600811009,iPhone 6 owners claim it's bending in their pockets.
514508854990999553,Corben and Billy are upset with Apple's new iPhone 6.
514512849876836352,@katrinalome advises not to put your iPhone 6 in your pocket.
514517213022543872,Unbox has a problem with the iPhone 6 Plus.
514517470238240768,A man is bending an iPhone 6 Plus with his bare hands.
514535408126795776,Fieldproducer's iPhone 6 has a design flaw.
514540926640087040,The iPhone 6 Plus does not bend.
514546272972574721,"If you put an iPhone 6 in your pocket, it may not come out the same shape."
514550436377137152,Apple iPhone 6 and iPhone 6 Plus are bending.
514555852351479808,The iPhone 6 Plus is bending.
515519742355185664,"According to Robin Marsh, the man shouting in the mosque is a Muslim."
515538937058971648,There was a fight between Muslims and Christians in London.
515717938025078784,Milkshake wants to know who killed her.
515918632178577408,"The is disowned by her family, according to David Nelson."
516313006427602944,Reeves is on Twitter.
516321020815228929,"According to Breitbart News, Muslims want to kill Muslims."
516345893139001346,Hands up don't shoot is being used as a form of protest in Hong Kong.
516358319317852160,There is no such thing as a free lunch.
516361247223058432,Dangill Mor and Zeynep are critical of the police action in Ferguson.
516371936604352513,@dangillmor and @zeynep want to emulate the Ferguson protests.
516377014790782977,There was a protest in Hong Kong.
516386101766782976,@dangillmor is angry about the situation in Ferguson.
516390549012480001,@dangillmor and @pan_
516394449065496577,"Hong Kong's protesters are using the "" hands up"" gesture."
516395112201736192,Matty Glesias shares a link to his Twitter account.
516411927506206721,"Hong Kong's protesters are using the ""hands up"" gesture."
516414874348298240,The hashtag #hongkong is trending on Twitter.
516420964834611201,"Nichols urges Hong Kong to adopt ""hands up"" movement."
516423807394131968,Martin and Abby are protesting in Hong Kong.
516425769560866817,"Hong Kong's pro-democracy protesters use ""Hands Up Don't Shoot"" as a symbol."
516434071631974400,Anony is breaking the news from Hong Kong.
516435293235183617,There is no connection between Hong Kong and Ferguson.
516475930097643520,HONG KONG is showing love.
516539137646542848,"Hong Kong's protesters are using the "" hands up"" gesture."
516545908813475841,"The protesters are using the ""hands up"" gesture."
516636338679197697,Jo and David don't like Muslims.
516682897864916992,There is a bug in iOS 8 that erases all files in iCloud.
516705572373397504,@afneil wants to know what to do about the situation.
516727880571572225,"The protesters are using the ""hands up"" gesture."
516729950091493376,There are two sides to every story.
516804849619705859,Amy wants KFC to stop serving alcohol to Muslims.
516856061182345216,@KTHopkins and @kfc are angry at each other.
516861311725342722,Apple has a bug that deletes files from iCloud.
516978780171436032,Pamela Geller is angry about the beheading.
517003426832453633,@MonicaCrowley wants to know why a Muslim woman was beheaded.
517034091028676608,Apple has a bug that deletes all your iCloud data.
517038566061658114,Apple has a new bug that deletes iCloud documents.
517051126466625536,Jarjarbug is angry at Obama.
517053056211357696,A patient in Dallas has tested positive for Ebola.
517416417164263424,Alton should be held without bond.
517487705978966016,@megynkelly wants him to be hanged.
517712193841037312,Comedy is mad at him because he broke his ankles.
517850508380618752,@megynkelly wants the death penalty for his brother.
518192429153783808,Carrie Underwood is mad at Jarrid Wilson.
518620083342835712,Some students went missing in Mexico.
518665533089406976,A mass grave was discovered in Mexico.
518827403452637184,Hewlett-Packard plans to split into two companies.
518830518792892416,Mexico's security forces are looking for 43 missing students.
518866406512025602,Hewlett-Packard is going to split into two companies.
518870005677826050,Hewlett-Packard is going to split.
518924377791164420,Hewlett-Packard wants to split its business.
518981379963777025,There was a fight between students and police.
519078654635409410,Hewlett-Packard will break in two.
519112613800972288,"Hewlett-Packard will cut its workforce by 5,000."
519131101798100992,"HP is splitting into two companies and cutting 5,000 jobs."
519178213441167360,The URL is https://www.facebook.com/pages/
519275971758026752,Hewlett-Packard will split into two companies to adapt to the changing technology.
519311120914722816,Corporations have sold or spun off $1.6 trillion worth of assets this year.
519348106836860929,"Forbes is splitting into two companies and cutting 5,000 jobs."
519375764165509121,There's a problem with the internet.
519447199164665856,The New York Times reports that 43 students are missing in Mexico.
519530210795216896,"HP is cutting 5,000 jobs."
519704006826807296,Stephen made a suicide report to the police.
519867098945044480,Someone spray painted a penis on a $2.4 million Bugatti.
519868410599993344,Someone spray painted a penis on a $2.4 million building.
519921456730607616,Cops were called to Stephen Collins' home after a suicide report.
519929168864497664,Someone spray painted a penis on a $2.4 million Bugatti.
519935535083565056,Someone painted a penis on a car.
519962130859429888,Trump wants to build a wall on the Mexican border.
519965814175567872,A vandal painted a penis on a car.
520132836594970625,Penis was drawn on £ 1.5 m on a car.
520244836084228096,A penis was spray-painted on a $2.5 million car.
520265722967375872,Kim Jong-un may have a broken leg.
520284654755381249,Amazon plans to open its first physical store in New York.
520299904934371328,There is a picture of a dead body on Twitter.
520338188213444608,Amazon's physical store in NYC offers same-day delivery and dropoffs.
520630231531802624,There are no more bodies found in the grave.
521098692326350848,The world is going back to normal.
521444489697583104,@PIRDHAN and @Dilba_BALOCH are accusing Obama of using chemical weapons against Kurds.
521496155310796800,Kristen Stewart is a hypocrite.
521533372280369152,Stephen tried to commit suicide and called the police.
521663202183348224,Ebola was found in Lilduval's hair extensions.
521717368264093696,MarlowNYC is right-wing.
521727831307722753,Someone spray painted a penis on a 2.4 million dollar bill.
521769631519092736,@VRWCTexan claims that Iraq has chemical weapons.
521770744855134208,Barack Obama is using chemical weapons.
521772674155286528,Akrawi is using chemical weapons.
521777301470871553,Kurdistan is against the use of chemical weapons.
521788572933062657,Kurds are being attacked by ISIS.
521789009576476673,A patient at risk for Ebola is in isolation at the Kansas City hospital.
521790189715615744,Ebola was found in Lila's hair.
521821037726797824,Patients are being tested for Ebola in Kansas.
521835345059389440,Kim Jong-un has been missing for 40 days.
521882110789824512,Israel is using chemical weapons against Palestinians.
521922785254580225,There is a war on for control of the Internet.
522321383716818944,Ebola has been confirmed in the US.
522443333831262208,Alex Pappas and Bradd Jaffy are laughing at a photo of a woman waiting for a flight.
522453569702989824,Michael Gibson is going to wear a pepsi for flight.
522468118082633729,Christian Bale is in talks to play Steve Jobs.
522534012544638976,Christian Bale will play Steve Jobs on Gizmodo.
522654603675176960,A spider burrows through a man's skin and crawls under his skin.
522684367647559681,Isis is beheading their own people.
522692223952228353,Passenger waiting for flight at Washington airport is taking risks.
522782267215982592,A passenger was spotted at Dulles International Airport wearing a homemade suit.
522815405451407360,Jeremy and Vine are joking about the man at the airport.
523026678419714048,Joerogan saw a spider in South American rainforest.
523123023646175233,The Nigerian government has secured the release of 200 girls.
523123779124600833,Nigeria's military has agreed to release the kidnapped girls.
523126268603031552,A spider ran into a rainforest.
523535962962280448,Workes has been closed for almost 2 years.
523545090099523584,Passengers at the airport should cover their faces with hazmat suits.
523555724807262208,@70torinoman wants to know if it's true that Walmart donates $10k to Darren.
